Tamanho,Tempo,Desvio,Imagem,Threads,Programa
64,0.0029800,0.0000951,seahorse,32,mandelbrot_omp
128,0.006346,0.000201,seahorse,32,mandelbrot_omp
256,0.017787,0.000276,seahorse,32,mandelbrot_omp
512,0.07086,0.00136,seahorse,32,mandelbrot_omp
1024,0.25655,0.00285,seahorse,32,mandelbrot_omp
2048,0.99844,0.00154,seahorse,32,mandelbrot_omp
4096,3.95876,0.00597,seahorse,32,mandelbrot_omp
8192,15.7651,0.0187,seahorse,32,mandelbrot_omp
16,0.000760,0.000135,full,4,mandelbrot_omp
32,0.0007537,0.0000189,full,4,mandelbrot_omp
64,0.0012107,0.0000389,full,4,mandelbrot_omp
128,0.0024907,0.0000171,full,4,mandelbrot_omp
256,0.0083793,0.0000270,full,4,mandelbrot_omp
512,0.031308,0.000289,full,4,mandelbrot_omp
1024,0.10454,0.00261,full,4,mandelbrot_omp
2048,0.37541,0.00756,full,4,mandelbrot_omp
4096,1.44989,0.00933,full,4,mandelbrot_omp
8192,5.75539,0.00949,full,4,mandelbrot_omp
16,0.0007815,0.0000229,full,1,mandelbrot_omp
32,0.0008891,0.0000190,full,1,mandelbrot_omp
64,0.0013229,0.0000168,full,1,mandelbrot_omp
128,0.0030764,0.0000193,full,1,mandelbrot_omp
256,0.0093093,0.0000246,full,1,mandelbrot_omp
512,0.032777,0.000175,full,1,mandelbrot_omp
1024,0.124665,0.000325,full,1,mandelbrot_omp
2048,0.48603,0.00127,full,1,mandelbrot_omp
4096,1.95165,0.00680,full,1,mandelbrot_omp
8192,7.7641,0.0156,full,1,mandelbrot_omp
16,0.0017943,0.0000177,full,32,mandelbrot_omp
32,0.0017982,0.0000223,full,32,mandelbrot_omp
64,0.0020430,0.0000321,full,32,mandelbrot_omp
128,0.002699,0.000104,full,32,mandelbrot_omp
256,0.005202,0.000353,full,32,mandelbrot_omp
512,0.012230,0.000231,full,32,mandelbrot_omp
1024,0.041701,0.000687,full,32,mandelbrot_omp
2048,0.16146,0.00336,full,32,mandelbrot_omp
4096,0.62417,0.00613,full,32,mandelbrot_omp
8192,2.4531,0.0121,full,32,mandelbrot_omp
