Tamanho,Tempo,Desvio,Imagem,Threads,Programa
8192,15.0727,0.0129,elephant,32,mandelbrot_pth
16,0.0006293,0.0000211,seahorse,2,mandelbrot_pth
32,0.001424,0.000202,seahorse,2,mandelbrot_pth
64,0.0030923,0.0000204,seahorse,2,mandelbrot_pth
128,0.011068,0.000106,seahorse,2,mandelbrot_pth
256,0.040922,0.000227,seahorse,2,mandelbrot_pth
512,0.153062,0.000556,seahorse,2,mandelbrot_pth
1024,0.59808,0.00110,seahorse,2,mandelbrot_pth
2048,2.37976,0.00309,seahorse,2,mandelbrot_pth
4096,9.49916,0.00819,seahorse,2,mandelbrot_pth
8192,38.0015,0.0314,seahorse,2,mandelbrot_pth
16,0.001068,0.000229,triple_spiral,1,mandelbrot_seq
32,0.0015738,0.0000284,triple_spiral,1,mandelbrot_seq
64,0.0049351,0.0000324,triple_spiral,1,mandelbrot_seq
128,0.018063,0.000305,triple_spiral,1,mandelbrot_seq
256,0.067769,0.000498,triple_spiral,1,mandelbrot_seq
512,0.26594,0.00147,triple_spiral,1,mandelbrot_seq
1024,1.056676,0.000835,triple_spiral,1,mandelbrot_seq
2048,4.5043,0.0105,triple_spiral,1,mandelbrot_seq
4096,18.0997,0.0936,triple_spiral,1,mandelbrot_seq
8192,70.035,0.157,triple_spiral,1,mandelbrot_seq
16,0.0006937,0.0000181,elephant,1,mandelbrot_seq
32,0.0013815,0.0000185,elephant,1,mandelbrot_seq
64,0.0042155,0.0000252,elephant,1,mandelbrot_seq
128,0.015683,0.000153,elephant,1,mandelbrot_seq
256,0.056589,0.000569,elephant,1,mandelbrot_seq
512,0.22359,0.00128,elephant,1,mandelbrot_seq
1024,0.88883,0.00151,elephant,1,mandelbrot_seq
2048,3.7787,0.0186,elephant,1,mandelbrot_seq
4096,15.918,0.171,elephant,1,mandelbrot_seq
8192,60.774,0.531,elephant,1,mandelbrot_seq
16,0.00314,0.00247,full,1,mandelbrot_seq
32,0.0006222,0.0000154,full,1,mandelbrot_seq
64,0.0011863,0.0000246,full,1,mandelbrot_seq
128,0.004029,0.000319,full,1,mandelbrot_seq
256,0.012012,0.000101,full,1,mandelbrot_seq
512,0.045269,0.000681,full,1,mandelbrot_seq
1024,0.17865,0.00197,full,1,mandelbrot_seq
2048,0.8101,0.0310,full,1,mandelbrot_seq
4096,3.571,0.146,full,1,mandelbrot_seq
8192,12.387,0.199,full,1,mandelbrot_seq
16,0.001091,0.000172,seahorse,1,mandelbrot_seq
32,0.0014280,0.0000146,seahorse,1,mandelbrot_seq
64,0.0043995,0.0000204,seahorse,1,mandelbrot_seq
128,0.016601,0.000217,seahorse,1,mandelbrot_seq
256,0.060987,0.000490,seahorse,1,mandelbrot_seq
512,0.23622,0.00173,seahorse,1,mandelbrot_seq
1024,0.93571,0.00101,seahorse,1,mandelbrot_seq
2048,3.9896,0.0313,seahorse,1,mandelbrot_seq
4096,16.753,0.235,seahorse,1,mandelbrot_seq
8192,65.037,0.362,seahorse,1,mandelbrot_seq
16,0.000810,0.000177,triple_spiral,1,mandelbrot_seq_SEM
32,0.0014417,0.0000133,triple_spiral,1,mandelbrot_seq_SEM
64,0.0046485,0.0000260,triple_spiral,1,mandelbrot_seq_SEM
128,0.017322,0.000145,triple_spiral,1,mandelbrot_seq_SEM
256,0.065008,0.000190,triple_spiral,1,mandelbrot_seq_SEM
512,0.267085,0.000627,triple_spiral,1,mandelbrot_seq_SEM
1024,1.06209,0.00268,triple_spiral,1,mandelbrot_seq_SEM
2048,4.22894,0.00713,triple_spiral,1,mandelbrot_seq_SEM
4096,17.0551,0.0784,triple_spiral,1,mandelbrot_seq_SEM
8192,68.071,0.178,triple_spiral,1,mandelbrot_seq_SEM
16,0.0006087,0.0000127,elephant,1,mandelbrot_seq_SEM
32,0.0012664,0.0000165,elephant,1,mandelbrot_seq_SEM
64,0.0039206,0.0000254,elephant,1,mandelbrot_seq_SEM
128,0.014527,0.000159,elephant,1,mandelbrot_seq_SEM
256,0.053714,0.000238,elephant,1,mandelbrot_seq_SEM
512,0.21992,0.00154,elephant,1,mandelbrot_seq_SEM
1024,0.87597,0.00231,elephant,1,mandelbrot_seq_SEM
2048,3.5403,0.0134,elephant,1,mandelbrot_seq_SEM
4096,14.0468,0.0870,elephant,1,mandelbrot_seq_SEM
8192,56.577,0.204,elephant,1,mandelbrot_seq_SEM
16,0.0004215,0.0000168,full,1,mandelbrot_seq_SEM
32,0.000710,0.000116,full,1,mandelbrot_seq_SEM
64,0.0009144,0.0000130,full,1,mandelbrot_seq_SEM
128,0.0025081,0.0000197,full,1,mandelbrot_seq_SEM
256,0.009135,0.000276,full,1,mandelbrot_seq_SEM
512,0.032775,0.000323,full,1,mandelbrot_seq_SEM
1024,0.135149,0.000360,full,1,mandelbrot_seq_SEM
2048,0.52493,0.00152,full,1,mandelbrot_seq_SEM
4096,2.1070,0.0115,full,1,mandelbrot_seq_SEM
8192,8.4523,0.0577,full,1,mandelbrot_seq_SEM
16,0.001320,0.000240,seahorse,1,mandelbrot_seq_SEM
32,0.0013181,0.0000174,seahorse,1,mandelbrot_seq_SEM
64,0.004515,0.000181,seahorse,1,mandelbrot_seq_SEM
128,0.015335,0.000322,seahorse,1,mandelbrot_seq_SEM
256,0.056487,0.000271,seahorse,1,mandelbrot_seq_SEM
512,0.23102,0.00121,seahorse,1,mandelbrot_seq_SEM
1024,0.93475,0.00201,seahorse,1,mandelbrot_seq_SEM
2048,3.72248,0.00583,seahorse,1,mandelbrot_seq_SEM
4096,14.8532,0.0577,seahorse,1,mandelbrot_seq_SEM
8192,59.544,0.237,seahorse,1,mandelbrot_seq_SEM
